fold,epoch,train_loss,val_loss,train_acc,val_acc,precision,recall,f1
1,1,0.6500434558838606,0.6849038973450661,0.671875,0.5625,0.31640625,0.5625,0.40499999999999997
1,2,0.4623571988195181,0.25101062655448914,0.828125,1.0,1.0,1.0,1.0
1,3,0.5008856013882905,0.12424986436963081,0.8125,1.0,1.0,1.0,1.0
1,4,0.321902209892869,0.08001127908937633,0.921875,1.0,1.0,1.0,1.0
1,5,0.31125205976422876,0.038838993990793824,0.84375,1.0,1.0,1.0,1.0
1,6,0.24794243212090805,0.04827909148298204,0.9375,1.0,1.0,1.0,1.0
1,7,0.2479356542462483,0.03848321456462145,0.96875,1.0,1.0,1.0,1.0
1,8,0.24108301842352375,0.033598929876461625,0.921875,1.0,1.0,1.0,1.0
1,9,0.2661583067965694,0.031185095431283116,0.953125,1.0,1.0,1.0,1.0
1,10,0.2325993546983227,0.035859425202943385,0.96875,1.0,1.0,1.0,1.0
2,1,0.6391363553702831,0.673221055418253,0.671875,0.5625,0.31640625,0.5625,0.40499999999999997
2,2,0.5170138739049435,0.327137541025877,0.75,1.0,1.0,1.0,1.0
2,3,0.36928016343154013,0.062293317168951035,0.828125,1.0,1.0,1.0,1.0
2,4,0.2384801551233977,0.030927375657483935,0.953125,1.0,1.0,1.0,1.0
2,5,0.26697025302564725,0.01878035720437765,0.921875,1.0,1.0,1.0,1.0
2,6,0.22028761776164174,0.025775504182092845,0.953125,1.0,1.0,1.0,1.0
2,7,0.20844653266249225,0.022265313426032662,0.984375,1.0,1.0,1.0,1.0
2,8,0.24058546451851726,0.016039452515542507,0.953125,1.0,1.0,1.0,1.0
2,9,0.23414945235708728,0.016929319477640092,0.953125,1.0,1.0,1.0,1.0
2,10,0.20289605797734112,0.020345660974271595,0.984375,1.0,1.0,1.0,1.0
3,1,0.612398580648005,0.6533307284116745,0.703125,0.5625,0.31640625,0.5625,0.40499999999999997
3,2,0.43792123068124056,0.20486639672890306,0.84375,1.0,1.0,1.0,1.0
3,3,0.38761650572996587,0.07823298824951053,0.8125,1.0,1.0,1.0,1.0
3,4,0.37282862624851987,0.04041036358103156,0.8125,1.0,1.0,1.0,1.0
3,5,0.2622982576722279,0.03062169998884201,0.921875,1.0,1.0,1.0,1.0
3,6,0.18085327267181128,0.02874646708369255,0.984375,1.0,1.0,1.0,1.0
3,7,0.23645195679273456,0.03273322666063905,0.984375,1.0,1.0,1.0,1.0
3,8,0.23049542686203495,0.03675644216127694,0.96875,1.0,1.0,1.0,1.0
3,9,0.3093245857162401,0.02212218812201172,1.0,1.0,1.0,1.0,1.0
3,10,0.2240619943186175,0.03439890639856458,0.984375,1.0,1.0,1.0,1.0
4,1,0.6594543661922216,0.5785599201917648,0.515625,1.0,1.0,1.0,1.0
4,2,0.4583677367772907,0.16932323947548866,0.78125,1.0,1.0,1.0,1.0
4,3,0.34664660040289164,0.046422427985817194,0.84375,1.0,1.0,1.0,1.0
4,4,0.3264621830312535,0.038112397043732926,0.890625,1.0,1.0,1.0,1.0
4,5,0.297875685733743,0.0329167545423843,0.984375,1.0,1.0,1.0,1.0
4,6,0.20490294689079747,0.017296989331953228,0.984375,1.0,1.0,1.0,1.0
4,7,0.2527936091646552,0.01912071544211358,0.96875,1.0,1.0,1.0,1.0
4,8,0.1959944064146839,0.019076253403909504,1.0,1.0,1.0,1.0,1.0
4,9,0.1741359510924667,0.017654186696745455,1.0,1.0,1.0,1.0,1.0
4,10,0.16329449857585132,0.017133253277279437,0.984375,1.0,1.0,1.0,1.0
5,1,0.6145282415673137,0.5490462817251682,0.671875,0.625,0.390625,0.625,0.4807692307692308
5,2,0.4578947057016194,0.13932833261787891,0.84375,1.0,1.0,1.0,1.0
5,3,0.30399112368468195,0.04059993207920343,0.859375,1.0,1.0,1.0,1.0
5,4,0.2970149435568601,0.03624070540536195,0.890625,1.0,1.0,1.0,1.0
5,5,0.24257280974416062,0.023629247094504535,0.921875,1.0,1.0,1.0,1.0
5,6,0.2127384808845818,0.014910436293575913,0.953125,1.0,1.0,1.0,1.0
5,7,0.2008985546126496,0.014983572356868535,1.0,1.0,1.0,1.0,1.0
5,8,0.14595499314600602,0.01820733374916017,1.0,1.0,1.0,1.0,1.0
5,9,0.19173833832610399,0.017026471556164324,0.984375,1.0,1.0,1.0,1.0
5,10,0.21883486834121868,0.014531548222294077,0.96875,1.0,1.0,1.0,1.0
