fold,epoch,train_loss,val_loss,train_acc,val_acc,precision,recall,f1
1,1,0.46859436819992834,1.046764654914538,0.7627118644067796,0.4,0.16000000000000003,0.4,0.22857142857142856
1,2,0.04008945922162068,0.31025286118189493,1.0,1.0,1.0,1.0,1.0
1,3,0.00494451986002278,0.21963606079419454,1.0,1.0,1.0,1.0,1.0
1,4,0.001958899879709707,0.23756974041461945,1.0,1.0,1.0,1.0,1.0
1,5,0.000994996568760282,0.2324220870931943,1.0,1.0,1.0,1.0,1.0
1,6,0.0007693808130185925,0.2046594778696696,1.0,1.0,1.0,1.0,1.0
1,7,0.0007428326101389603,0.4421848642329375,1.0,0.6,0.36,0.6,0.45
1,8,0.0007167905356963876,0.21585835764805475,1.0,1.0,1.0,1.0,1.0
1,9,0.0006892522012664921,0.19022260854641596,1.0,1.0,1.0,1.0,1.0
1,10,0.0006671227333214829,0.1996807798743248,1.0,1.0,1.0,1.0,1.0
2,1,0.2817775191170937,0.4458921179175377,0.847457627118644,0.6,0.36,0.6,0.45
2,2,0.003941022358850529,0.43890731732050575,1.0,0.6,0.36,0.6,0.45
2,3,0.0014204696892224,0.8143239316840967,1.0,0.6,0.36,0.6,0.45
2,4,0.0008892698585395149,0.8482534430921078,1.0,0.6,0.36,0.6,0.45
2,5,0.0006553324332097704,1.5548670787053804,1.0,0.6,0.36,0.6,0.45
2,6,0.0005429258996273501,1.9515486320092654,1.0,0.6,0.36,0.6,0.45
2,7,0.0005205725662516809,0.8077980493505795,1.0,0.6,0.36,0.6,0.45
2,8,0.0005043510885778973,0.9831281856944164,1.0,0.6,0.36,0.6,0.45
2,9,0.0004885604625303393,0.5912590434153875,1.0,0.6,0.36,0.6,0.45
2,10,0.00047317385832360806,1.0087496880441904,1.0,0.6,0.36,0.6,0.45
3,1,0.5598817654585434,0.3582551081975301,0.7796610169491526,1.0,1.0,1.0,1.0
3,2,0.10045348588471949,0.10802593758950631,0.9830508474576272,1.0,1.0,1.0,1.0
3,3,0.006688875564516096,0.11067207083106041,1.0,1.0,1.0,1.0,1.0
3,4,0.0024666112425374026,0.1268037547978262,1.0,1.0,1.0,1.0,1.0
3,5,0.001447334674471137,0.37161231459273647,1.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333
3,6,0.0010580444043517996,0.4431613051681779,1.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333
3,7,0.0010010941497689523,0.3047605335945264,1.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333
3,8,0.0009528761275775605,0.1611925618723035,1.0,1.0,1.0,1.0,1.0
3,9,0.0009025357756369068,0.4139164158841595,1.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333
3,10,0.0008364356442559826,0.11880043920439978,1.0,1.0,1.0,1.0,1.0
4,1,0.42732671484098594,0.5146776554485162,0.8135593220338984,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333
4,2,0.016919289948418736,0.2981056640545527,1.0,1.0,1.0,1.0,1.0
4,3,0.0030983354051802624,0.3096056530872981,1.0,0.8,0.8461538461538463,0.8,0.7701863354037267
4,4,0.0013460100863239397,0.45055844088395436,1.0,0.8,0.875,0.8,0.8054298642533937
4,5,0.0008915467695846081,0.47556796222925185,1.0,0.8,0.875,0.8,0.8054298642533937
4,6,0.0007021967454821313,0.2560642629861832,1.0,1.0,1.0,1.0,1.0
4,7,0.0006722128102595333,0.24882493714491527,1.0,1.0,1.0,1.0,1.0
4,8,0.0006435251019311027,0.5683258209377527,1.0,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.5333333333333333
4,9,0.0006153184189993919,0.2833466462790966,1.0,0.8,0.8461538461538463,0.8,0.7701863354037267
4,10,0.0005858851575995085,0.248612313469251,1.0,1.0,1.0,1.0,1.0
5,1,0.28575957532739266,0.7174082025885582,0.8833333333333333,0.5714285714285714,0.6122448979591837,0.5714285714285714,0.5803571428571429
5,2,0.0051918275547601905,0.6039312004244753,1.0,0.8571428571428571,0.8979591836734694,0.8571428571428571,0.8601190476190477
5,3,0.0021006423184492936,0.7971795634283418,1.0,0.6428571428571429,0.41326530612244905,0.6428571428571429,0.5031055900621119
5,4,0.0011274926364421844,0.7367550645555768,1.0,0.7142857142857143,0.8412698412698413,0.7142857142857143,0.7142857142857143
5,5,0.0007145226445572916,0.6320109401962587,1.0,0.5714285714285714,0.3956043956043956,0.5714285714285714,0.4675324675324676
5,6,0.0005659784183080774,0.6790873136903558,1.0,0.5714285714285714,0.3956043956043956,0.5714285714285714,0.4675324675324676
5,7,0.000546759973076405,0.7790807081785586,1.0,0.5714285714285714,0.3956043956043956,0.5714285714285714,0.4675324675324676
5,8,0.000529144056054065,0.9326749364180225,1.0,0.7142857142857143,0.8412698412698413,0.7142857142857143,0.7142857142857143
5,9,0.0005108522277926871,0.8948727454990149,1.0,0.7142857142857143,0.8412698412698413,0.7142857142857143,0.7142857142857143
5,10,0.0004926186748586285,0.6710550266184977,1.0,0.5714285714285714,0.3956043956043956,0.5714285714285714,0.4675324675324676
